Price,Size,Bedroom,Bathroom,Floor,Car_Parking,Internet,Location,Pet,Event
700,238.5,3,1,1,Yes,No,Area_1,No,Spa
325,198.5,3,1,2,Yes,Yes,Area_1,No,Spa
450,172.5,3,1,2,Yes,No,Area_1,No,Spa
485,172.5,3,1,1,Yes,Yes,Area_3,No,Outdoor activities
520,176,2,2,1,Yes,No,Area_1,No,Outdoor activities
645,172.5,3,1,2,Yes,No,Area_2,No,Spa
710,220.5,4,3,2,Yes,Yes,Area_3,No,Shows
462,182,4,1,2,Yes,No,Area_1,No,Spa
600,182,3,2,2,Yes,Yes,Area_1,No,Spa
630,245,2,1,2,Yes,No,Area_1,No,Spa
649,205,2,2,1,Yes,No,Area_1,No,Spa
520,298,3,1,2,Yes,No,Area_1,No,Spa
745,225,4,2,1,No,No,Area_3,No,Spa
650,127.5,3,1,2,Yes,Yes,Area_1,No,Spa
670,483.35,4,2,2,Yes,No,Area_2,No,Spa
700,290,2,1,1,Yes,Yes,Area_1,No,Spa
699,249.75,4,2,1,Yes,No,Area_1,No,Spa
700,150,3,1,2,Yes,No,Area_1,No,Shows
750,275,3,2,1,Yes,No,Area_1,No,Spa
769,322.5,3,2,1,Yes,Yes,Area_1,No,Spa
990,444,3,2,2,Yes,No,Area_2,No,Shows
1240,357.75,3,2,1,Yes,No,Area_3,No,Spa
1060,372,3,2,1,Yes,No,Area_1,Yes,Spa
1550,375,3,3,1,Yes,Yes,Area_3,Yes,Shows
1410,405,4,1,2,Yes,Yes,Area_3,Yes,Shows
730,150,3,1,2,Yes,Yes,Area_1,No,Shows
595,202.3,3,1,2,Yes,No,Area_2,No,Spa
685,350,3,1,2,Yes,No,Area_1,No,Shows
860,340,2,1,1,Yes,No,Area_3,No,Spa
1300,330,4,2,2,Yes,No,Area_2,Yes,Shows
1750,498,3,2,2,Yes,No,Area_3,Yes,Shows
720,535,3,1,2,Yes,Yes,Area_1,No,Shows
990,660,2,1,1,Yes,Yes,Area_2,No,Spa
1200,397.5,5,2,2,Yes,Yes,Area_3,No,Shows
790,305,3,2,1,Yes,No,Area_3,Yes,Spa
820,318,3,1,1,Yes,No,Area_3,Yes,Spa
850,321,3,1,1,Yes,Yes,Area_1,Yes,Spa
1220,327,4,2,2,Yes,Yes,Area_3,Yes,Shows
840,358,3,1,1,Yes,Yes,Area_3,Yes,Spa
970,200,3,2,2,Yes,No,Area_1,Yes,Shows
1125,327.5,3,1,2,Yes,No,Area_1,Yes,Shows
1400,660,3,1,2,Yes,No,Area_3,Yes,Shows
747,354.25,3,1,1,Yes,Yes,Area_3,Yes,Spa
780,330,4,2,2,Yes,No,Area_1,Yes,Shows
789,345,3,1,1,Yes,Yes,Area_1,Yes,Spa
850,351,3,1,1,Yes,No,Area_3,Yes,Spa
850,327,3,1,1,Yes,Yes,Area_3,Yes,Spa
860,400,3,1,1,Yes,Yes,Area_3,Yes,Spa
869,481,3,1,1,Yes,No,Area_3,Yes,Spa
945,525,3,2,1,Yes,No,Area_2,Yes,Spa
720,330,3,1,1,Yes,Yes,Area_1,Yes,Spa
745,360,3,1,2,Yes,No,Area_2,Yes,Shows
770,335.5,3,2,2,Yes,Yes,Area_2,Yes,Shows
807.5,333,4,2,2,Yes,No,Area_2,Yes,Shows
829,350,3,1,1,Yes,Yes,Area_3,Yes,Spa
850,361.55,3,1,2,Yes,No,Area_1,Yes,Shows
925,370.5,3,1,1,Yes,No,Area_3,Yes,Spa
760,390,3,1,1,Yes,Yes,Area_3,Yes,Spa
775,341.25,3,1,1,Yes,No,Area_1,Yes,Spa
800,330,4,2,1,Yes,Yes,Area_1,Yes,Spa
860,345,3,2,1,Yes,No,Area_1,Yes,Spa
870,330,3,1,1,Yes,Yes,Area_3,Yes,Spa
875,321,3,1,3,Yes,No,Area_1,Yes,Shows
890,330,3,2,1,Yes,Yes,Area_1,Yes,Spa
900,450,3,1,1,Yes,Yes,Area_2,Yes,Spa
520,142.5,3,2,2,No,Yes,Area_1,Yes,Spa
900,320,3,1,1,Yes,No,Area_2,Yes,Spa
1000,558.75,3,1,1,Yes,Yes,Area_2,Yes,Spa
917,337.5,2,1,1,Yes,Yes,Area_3,Yes,Spa
1745,375,4,2,2,Yes,No,Area_4,Yes,Shows
800,256.8,3,1,2,Yes,No,Area_1,Yes,Shows
611,170,3,1,2,Yes,Yes,Area_3,Yes,Spa
660,143.5,2,1,2,Yes,No,Area_1,Yes,Spa
585.5,180,3,1,1,Yes,No,Area_1,Yes,Outdoor activities
650,266,3,1,2,Yes,Yes,Area_1,Yes,Spa
750,420,3,1,2,Yes,Yes,Area_3,Yes,Shows
570,202.5,2,1,2,Yes,Yes,Area_1,Yes,Spa
1049,572,4,1,2,Yes,Yes,Area_2,Yes,Shows
1200,275,4,2,2,Yes,No,Area_2,Yes,Shows
730,305,3,1,1,Yes,Yes,Area_1,Yes,Spa
749,302.5,3,1,1,Yes,Yes,Area_1,Yes,Spa
750,190,3,1,2,Yes,No,Area_2,Yes,Shows
795,270,5,1,2,Yes,Yes,Area_1,Yes,Shows
1209,300,3,2,4,Yes,Yes,Area_1,Yes,Shows
470,107.25,3,1,2,Yes,No,Area_1,Yes,Spa
476,107.25,3,1,2,Yes,No,Area_1,Yes,Spa
490,130.5,3,1,2,Yes,Yes,Area_1,Yes,Spa
490,97.5,3,2,2,Yes,Yes,Area_1,Yes,Spa
550,100.75,3,1,2,Yes,Yes,Area_1,Yes,Spa
560,107.25,4,2,1,Yes,Yes,Area_1,Yes,Outdoor activities
605,139.35,3,1,1,Yes,No,Area_1,Yes,Spa
649,249.5,4,2,2,Yes,No,Area_1,Yes,Spa
930,333.5,3,1,3,Yes,Yes,Area_1,Yes,Shows
850,312.7,4,2,1,Yes,No,Area_2,Yes,Spa
885,275,3,2,1,Yes,Yes,Area_3,Yes,Spa
880,272.5,4,2,1,Yes,Yes,Area_1,Yes,Spa
895,300,4,1,3,Yes,Yes,Area_1,Yes,Shows
950,285,3,1,1,Yes,No,Area_3,Yes,Spa
955,330,2,2,4,Yes,Yes,Area_1,Yes,Shows
590,299.25,3,1,1,Yes,Yes,Area_1,No,Spa
600,225,3,1,1,Yes,Yes,Area_1,No,Spa
685,405,4,1,4,Yes,No,Area_3,No,Shows
715,407.5,3,2,1,Yes,No,Area_1,No,Spa
719,240,2,1,1,Yes,No,Area_1,No,Spa
700,232.3,3,1,2,Yes,No,Area_3,No,Shows
660,250.5,3,1,2,Yes,No,Area_1,No,Spa
589,303,2,1,1,Yes,No,Area_2,No,Outdoor activities
710,384.3,3,1,1,Yes,Yes,Area_1,No,Spa
